[2024-02-07 15:06:32,569] [ERROR] => Не удалось прочитать секцию в конфиге 
No section: 'database'
[2024-02-07 15:28:40,291] [INFO] => Запускаю получение данных из конфига
[2024-02-07 15:28:40,314] [INFO] => Данные из конфига получены
[2024-02-07 15:38:35,867] [INFO] => Запускаю получение данных из конфига
[2024-02-07 15:38:35,874] [INFO] => Данные из конфига получены
[2024-02-07 15:38:35,874] [INFO] => Пытаюсь подключится к redis
[2024-02-07 15:38:35,875] [INFO] => Соединение с redis установлено
[2024-02-07 15:38:35,885] [INFO] => None, None, из redis
[2024-02-07 15:38:35,885] [INFO] => Пытаюсь подключится к базе
[2024-02-07 15:43:55,567] [INFO] => Запускаю получение данных из конфига
[2024-02-07 15:43:55,585] [INFO] => Данные из конфига получены
[2024-02-07 15:43:55,585] [INFO] => Пытаюсь подключится к redis
[2024-02-07 15:43:55,585] [INFO] => Соединение с redis установлено
[2024-02-07 15:43:55,594] [INFO] => None, None, из redis
[2024-02-07 15:43:55,594] [INFO] => Пытаюсь подключится к базе
[2024-02-07 15:49:30,106] [INFO] => Запускаю получение данных из конфига
[2024-02-07 15:49:30,112] [INFO] => Данные из конфига получены
[2024-02-07 15:49:30,112] [INFO] => Пытаюсь подключится к redis
[2024-02-07 15:49:30,112] [INFO] => Соединение с redis установлено
[2024-02-07 15:49:30,114] [INFO] => None, None, из redis
[2024-02-07 15:49:30,115] [INFO] => Пытаюсь подключится к базе
[2024-02-07 15:49:30,133] [INFO] => Создал подключение к БД
[2024-02-07 15:49:30,133] [INFO] => Пытаюсь получить курс первой валюты из базы
[2024-02-07 15:49:30,133] [INFO] => Получил курс первой валюты из базы
[2024-02-07 15:49:30,133] [INFO] => Пытаюсь записать первую валюту в redis
[2024-02-07 15:52:27,804] [INFO] => Запускаю получение данных из конфига
[2024-02-07 15:52:27,810] [INFO] => Данные из конфига получены
[2024-02-07 15:52:27,810] [INFO] => Пытаюсь подключится к redis
[2024-02-07 15:52:27,811] [INFO] => Соединение с redis установлено
[2024-02-07 15:52:27,812] [INFO] => None, None, из redis
[2024-02-07 15:52:27,812] [INFO] => Пытаюсь подключится к базе
[2024-02-07 15:52:27,814] [INFO] => Создал подключение к БД
[2024-02-07 15:52:27,814] [INFO] => Пытаюсь получить курс первой валюты из базы
[2024-02-07 15:53:32,725] [INFO] => Запускаю получение данных из конфига
[2024-02-07 15:53:32,731] [INFO] => Данные из конфига получены
[2024-02-07 15:53:32,731] [INFO] => Пытаюсь подключится к redis
[2024-02-07 15:53:32,731] [INFO] => Соединение с redis установлено
[2024-02-07 15:53:32,751] [INFO] => None, None, из redis
[2024-02-07 15:53:32,751] [INFO] => Пытаюсь подключится к базе
[2024-02-07 15:53:32,764] [INFO] => Создал подключение к БД
[2024-02-07 15:53:32,764] [INFO] => Пытаюсь получить курс первой валюты из базы
[2024-02-07 15:53:32,765] [INFO] => Получил курс первой валюты из базы
[2024-02-07 15:53:32,765] [INFO] => Пытаюсь записать первую валюту в redis
[2024-02-07 16:05:06,113] [INFO] => Запускаю получение данных из конфига
[2024-02-07 16:05:06,133] [INFO] => Данные из конфига получены
[2024-02-07 16:05:06,133] [INFO] => Пытаюсь подключится к redis
[2024-02-07 16:05:06,133] [INFO] => Соединение с redis установлено
[2024-02-07 16:05:06,142] [INFO] => None, None, из redis
[2024-02-07 16:05:06,142] [INFO] => Пытаюсь подключится к базе
[2024-02-07 16:05:06,158] [INFO] => Создал подключение к БД
[2024-02-07 16:05:06,158] [INFO] => Пытаюсь получить курс первой валюты из базы
[2024-02-07 16:05:06,159] [INFO] => Получил курс первой валюты из базы
[2024-02-07 16:05:06,159] [INFO] => Пытаюсь записать первую валюту в redis
[2024-02-07 16:09:48,767] [INFO] => Запускаю получение данных из конфига
[2024-02-07 16:09:48,773] [INFO] => Данные из конфига получены
[2024-02-07 16:09:48,773] [INFO] => Пытаюсь подключится к redis
[2024-02-07 16:09:48,773] [INFO] => Соединение с redis установлено
[2024-02-07 16:09:48,775] [INFO] => None, None, из redis
[2024-02-07 16:09:48,776] [INFO] => Пытаюсь подключится к базе
[2024-02-07 16:09:48,787] [INFO] => Создал подключение к БД
[2024-02-07 16:09:48,788] [INFO] => Пытаюсь получить курс первой валюты из базы
[2024-02-07 16:11:58,778] [INFO] => Запускаю получение данных из конфига
[2024-02-07 16:11:58,784] [INFO] => Данные из конфига получены
[2024-02-07 16:11:58,784] [INFO] => Пытаюсь подключится к redis
[2024-02-07 16:11:58,784] [INFO] => Соединение с redis установлено
[2024-02-07 16:11:58,786] [INFO] => None, None, из redis
[2024-02-07 16:11:58,786] [INFO] => Пытаюсь подключится к базе
[2024-02-07 16:11:58,788] [INFO] => Создал подключение к БД
[2024-02-07 16:11:58,788] [INFO] => Пытаюсь получить курс первой валюты из базы
[2024-02-07 16:14:53,405] [INFO] => Запускаю получение данных из конфига
[2024-02-07 16:14:53,411] [INFO] => Данные из конфига получены
[2024-02-07 16:14:53,411] [INFO] => Пытаюсь подключится к redis
[2024-02-07 16:14:53,411] [INFO] => Соединение с redis установлено
[2024-02-07 16:14:53,415] [INFO] => None, None, из redis
[2024-02-07 16:14:53,415] [INFO] => Пытаюсь подключится к базе
[2024-02-07 16:14:53,417] [INFO] => Создал подключение к БД
[2024-02-07 16:14:53,417] [INFO] => Пытаюсь получить курс первой валюты из базы
[2024-02-07 16:14:53,418] [INFO] => Получил курс первой валюты из базы
[2024-02-07 16:14:53,418] [INFO] => Пытаюсь записать первую валюту в redis
[2024-02-07 16:14:53,418] [ERROR] => Не удалось получить курс из БД 
'str' object has no attribute 'set'
[2024-02-07 16:54:19,367] [INFO] => Запускаю получение данных из конфига
[2024-02-07 16:54:19,375] [DEBUG] => Пытаюсь открыть файл конфигурации
[2024-02-07 16:54:19,411] [DEBUG] => Открыл файл конфигурации
[2024-02-07 16:54:19,411] [DEBUG] => Пытаюсь прочесть данные из файла конфигурации
[2024-02-07 16:54:19,411] [DEBUG] => Прочел данные из файла конфигурации
[2024-02-07 16:54:19,412] [INFO] => Данные из конфига получены
[2024-02-07 16:54:19,412] [INFO] => Пытаюсь подключится к redis
[2024-02-07 16:54:19,412] [DEBUG] => Пытаюсь создать подключение к redis
[2024-02-07 16:54:19,412] [DEBUG] => Создал подключение к redis
[2024-02-07 16:54:19,412] [INFO] => Соединение с redis установлено
[2024-02-07 16:54:19,412] [DEBUG] => Пытаюсь прочесть курс валюты из redis
[2024-02-07 16:54:19,417] [DEBUG] => Пытаюсь прочесть курс валюты из redis
[2024-02-07 16:54:19,418] [INFO] => None, None, из redis
[2024-02-07 16:54:19,418] [INFO] => Пытаюсь подключится к базе
[2024-02-07 16:54:19,418] [DEBUG] => Пытаюсь создать подключение к БД
[2024-02-07 16:54:19,433] [DEBUG] => Создал подключение к БД
[2024-02-07 16:54:19,433] [INFO] => Создал подключение к БД
[2024-02-07 16:54:19,433] [INFO] => Пытаюсь получить курс первой валюты из базы
[2024-02-07 16:54:19,433] [DEBUG] => Пытаюсь получить сегодняшнюю дату
[2024-02-07 16:54:19,435] [DEBUG] => Получил сегодняшнюю дату
[2024-02-07 16:54:19,435] [DEBUG] => Пытаюсь создать запрос к БД на получение курса валюты
[2024-02-07 16:54:19,436] [DEBUG] => Создал запрос к БД на получение курса валюты
[2024-02-07 16:54:19,436] [DEBUG] => Пытаюсь получить курс валюты из результатов запроса
[2024-02-07 16:54:19,436] [DEBUG] => Получил курс валюты из результатов запроса
[2024-02-07 16:54:19,436] [INFO] => Получил курс первой валюты из базы
[2024-02-07 16:54:19,436] [INFO] => Пытаюсь записать первую валюту в redis
[2024-02-07 16:54:19,436] [DEBUG] => Пытаюсь записать курс валюты в redis
[2024-02-07 16:54:19,437] [DEBUG] => Записал курс валюты в redis
[2024-02-07 16:54:19,437] [INFO] => Записал первую валюту в redis
[2024-02-07 16:54:19,437] [INFO] => Пытаюсь получить курс второй валюты из базы
[2024-02-07 16:54:19,437] [DEBUG] => Пытаюсь получить сегодняшнюю дату
[2024-02-07 16:54:19,438] [DEBUG] => Получил сегодняшнюю дату
[2024-02-07 16:54:19,438] [DEBUG] => Пытаюсь создать запрос к БД на получение курса валюты
[2024-02-07 16:54:19,439] [DEBUG] => Создал запрос к БД на получение курса валюты
[2024-02-07 16:54:19,440] [DEBUG] => Пытаюсь получить курс валюты из результатов запроса
[2024-02-07 16:54:19,440] [DEBUG] => Получил курс валюты из результатов запроса
[2024-02-07 16:54:19,440] [INFO] => Получил курс второй валюты из базы
[2024-02-07 16:54:19,440] [INFO] => Пытаюсь записать вторую валюту в redis
[2024-02-07 16:54:19,440] [DEBUG] => Пытаюсь записать курс валюты в redis
[2024-02-07 16:54:19,441] [DEBUG] => Записал курс валюты в redis
[2024-02-07 16:54:19,441] [INFO] => Записал вторую валюту в redis
[2024-02-07 16:54:19,441] [INFO] => Пытаюсь посчитать количество валюты на руки
[2024-02-07 16:54:19,441] [INFO] => Посчитал количество валюты на руки
